name,address,rating,number_of_reviews,affluence
bk,"Unnamed Road, Bijoynagar, Bangladesh",0.0,0.0,0.0
Mayer Duwa Coffee House & Firstfood,"Unnamed Road, Bijoynagar, Bangladesh",4.3,3.0,0.0
"Billghor ,বিলঘর","R 412632006, Kasba, Bangladesh",4.5,15.0,0.0
গাউছিয়া হোটেল,"Q475+WQW, Bangladesh",0.0,0.0,0.0
The Food Palace,"Janata Tower, Kasba, Bangladesh",4.3,117.0,0.0
Khan Romansiah,"R 412632001, Kasba, Bangladesh",5.0,2.0,0.0
"Joynal Palace ,Billghor","P4J7+F7C, Kasba, Bangladesh",3.0,2.0,0.0
The Indiana,"Chowmohani - Kasba Rd, Kasba, Bangladesh",5.0,1.0,0.0
Kasba Resturant,"Comilla - B.Baria Bypass Rd, Kasba, Bangladesh",5.0,1.0,0.0
Family Feast,"P4XW+WF6, Kasba, Bangladesh",0.0,0.0,0.0
Tasty Bites,"P4XW+5F4, Kasba, Bangladesh",4.3,76.0,2.0
ইমরুল হোটেলে,"Kasba New Pouroshova Complex, Jajishar - Kasba Bazar, Kasba, Bangladesh",0.0,0.0,0.0
হাজী বিরিয়ানি কসবা,"Kasba New Pouroshova Complex, Jajishar - Kasba Bazar, Kasba, Bangladesh",3.5,4.0,0.0
বিসমিল্লাহ বট নুডলস এন্ড হালিম,"P4WW+VM9, Kasba, Bangladesh",1.0,1.0,0.0
মুন্সী ভাই ভাই ষ্টোর,"Q47C+FWF, Kasba, Bangladesh",1.0,1.0,0.0
Ekbal hasun Dipu,"P4WG+W7G, Kasba, Bangladesh",0.0,0.0,0.0
Shainik Hotel & Restaurant,"Kasba, Rail Station - Araibari Rd, Kasba 3460, Bangladesh",4.0,48.0,1.0
Hotel Jhumur হোটেল ঝুমুর,"P4XW+3G4, কসবা, Bangladesh",0.0,0.0,0.0
Doriyar Hut,"Bazar Rd, Kasba, Bangladesh",0.0,0.0,0.0
Beauty Community Centre,"P4XR+FFR, Kasba, Bangladesh",4.3,12.0,0.0
Mim Hotel & Restaurant,"Bus Station, Kasba, Bangladesh",4.3,9.0,0.0
Shawarma Club,"P4WW+XH9, Kasba, Bangladesh",4.5,2.0,0.0
ক্যাফে রিভারভিউ,"VXPC+99M, Nabinagar, Bangladesh",4.5,13.0,0.0
Cafe River View,"VXPC+99M, Nabinagar, Bangladesh",4.1,17.0,0.0
নীলাচল ভোজনালয়,"গোলাপ চেয়ারম্যান মার্কেট, Nabinagar Bazar, Nabinagar, Bangladesh",5.0,2.0,0.0
মীম হোটেল এন্ড সুইটস্,"Nabinagar Bazar, Z1206, Nabinagar, Bangladesh",4.5,17.0,0.0
বিসমিল্লাহ হোটেল,"Companiganj - Nabinagar Rd, Nabinagar, Bangladesh",4.0,1.0,0.0
জল্লা ফুড প্যালেস এন্ড ফ্রেন্ডস পার্ক,"VXQ6+764, Nabinagar, Bangladesh",5.0,1.0,0.0
RashikBariCafe,"VXQ6+764, Chandra, Bangladesh",0.0,0.0,0.0
Ma Babar Dowa Hotel & Restaurant,"VXHC+RC4, Nabinagar, Bangladesh",3.0,1.0,0.0
"সৈনিক রেষ্টুরেন্ট, কমিউনিটি সেন্টার এন্ড ফাস্টফুড","VXPC+R3X, Nabinagar, Bangladesh",4.1,9.0,0.0
Bhai Bhai Hotel ভাই ভাই হোটেল,"Unnamed Road, Nabinagar, Bangladesh",3.0,2.0,0.0
আজিজুল অন্তরা ফাস্টফুড এন্ড কফি হাউজ (GK),"Unnamed Road, Nabinagar, Bangladesh",5.0,1.0,0.0
হাউস,"থানাকান্দি Road, Nabinagar, Bangladesh",0.0,0.0,0.0
FOOD LEADER RESTAURANT,"SENA SHOPPING COMPLEX, Nabinagar, Bangladesh",4.5,2.0,0.0
M/S Awlad Miste Bitan,"Nabinagar, Bangladesh",4.0,29.0,0.0
সূর্য ঘোষের দই চিরার দোকান,"VXPC+8F9, Nabinagar 3410, Bangladesh",0.0,0.0,0.0
সুফি গাউছিয়া হোটেল,"Nabinagar, Bangladesh",3.7,3.0,0.0
দই চিড়া,"VXPC+C9C, Nabinagar, Bangladesh",5.0,3.0,0.0
হোটেল নিরিবিলি,"Hospital Rd, Nabinagar, Bangladesh",5.0,1.0,0.0
স্বপ্নছায়া রেষ্টুরেন্ট এন্ড পার্টি সেন্টার,"VXFJ+9Q5, Bangladesh",5.0,2.0,0.0
lipi aker,"VXQ6+764, Nabinagar, Bangladesh",4.0,1.0,0.0
খাজা হোটেল / Khaja Hotel,"VXQ6+764, Nabinagar, Bangladesh",1.0,3.0,0.0
Nur-Jahan Hotel & Restaurant,"Salam Road, Nabinagar, Bangladesh",3.7,117.0,1.0
আঃ রশিদ মোল্লা মার্কেট,"VXHC+MFF, busstation, Bangladesh",5.0,2.0,0.0
মায়ের দোয়া রেষ্টুরেন্ট,"55RW+X3M, Nasirnagar, Bangladesh",0.0,0.0,0.0
Bage Madina Hotel & Restaurant,"Sarail - Nasirnagar - Lakhai - Habiganj Rd, Nasirnagar, Bangladesh",4.0,3.0,0.0
Allahr Dan Hotel & Restaurant,"Sarail - Nasirnagar - Lakhai - Habiganj Rd, Nasirnagar, Bangladesh",2.8,8.0,0.0
Ananta Hotel,"55XW+66V, Nasirnagar, Bangladesh",4.0,1.0,0.0
"Hello Marwa Hotel, Restaurant and Party Center","34G9+37V, Sarail, Bangladesh",4.5,23.0,0.0
Cafe Samad Restaurant & Biriyani House,"R220, Sarail, Bangladesh",3.0,1.0,0.0
দই ফুচকা জোন,"Sarail Thana Rd, Bangladesh",0.0,0.0,0.0
QUICK FOOD EXPRESS,"R220, Sarail, Bangladesh",5.0,1.0,0.0
FOODIES,"Talukdar Tower, 3rd floor, Annada Govt. High School Moor Brahmanbaria, সরাইল 3430, Bangladesh",0.0,0.0,0.0
Malaysia Food,"sarail tower, সরাইল, Bangladesh",5.0,4.0,0.0
Irfanjonet,"344J+6FV, Islamabad, Bangladesh",0.0,0.0,0.0
Khanar Khajana,"Dewan Habeli, Sarail, Bangladesh",4.7,6.0,0.0
Decent Food,"Unnamed Road, Sarail, Bangladesh",0.0,0.0,0.0
Ibrahim Cottage,"Unnamed Road, Sarail, Bangladesh",5.0,1.0,0.0
বড় বাজার,"3435+P2C, Sarail, Bangladesh",0.0,0.0,0.0
আব্দুল মজিদ বিল্ডিং,"34MC+W8F, Sarail, Bangladesh",3.7,3.0,0.0
Kalikaccha bazar,"R220, Sarail, Bangladesh",4.1,17.0,0.0
Jom Jom Hotel & Restaurant,"34VC+H4R, Sarail, Bangladesh",4.0,5.0,0.0
Babu Store,"34RM+W93, Noagaon, Bangladesh",2.0,1.0,0.0
Dulal Stor,"34RM+W9G, Noagaon, Bangladesh",4.3,3.0,0.0
আল্লাহর দান হোটেল,"J8W4+GQ, Alikadam, Bangladesh",0.0,0.0,0.0
জাহাঙ্গীর হোটেল এন্ড ভাতঘর,"Bus Stand, Alikadam, Bangladesh",2.0,2.0,0.0
বিছমিল্লাহ হোটেল,"M846+8R6, Alikadam, Bangladesh",3.0,2.0,0.0
মায়েরদোয়া হোটেল এন্ড রেস্টুরেন্টে,"Alikadam - Thanchi Rd, Alikadam, Bangladesh",1.0,1.0,0.0
বিসমিল্লাহ হোটেল এন্ড রেস্টুরেন্ট। (Bismillah Hotel & Restaurant),"M846+8M3, Alikadam, Bangladesh",5.0,1.0,0.0
Abc,"M855+PVH, Alikadam, Bangladesh",5.0,1.0,0.0
